Country,Capital,Latitude,Longitude,Population,real_population,,,,,,,
Iraq,Baghdad,33.3333,44.5,"5,500",5500000,yes,"5,500",Iraq,Baghdad,,,
Ireland,Dublin,53.35,-6.25,"1,060",1060000,yes,"1,060",Ireland,Dublin,,,
Israel,Jerusalem,31.7833,35.2,736,736000,yes,736,Israel,Jerusalem,,,
Italy,Rome,41.9,12.4833,"3,340",3340000,yes,"3,340",Italy,Rome,,,
Jamaica,Kingston,18,-76.8333,581,581000,yes,581,Jamaica,"Kingston, Jamaica",,,
Japan,Tokyo,35.6895,139.6917,"35,670",35670000,yes,"35,670",Japan,Tokyo,,,
Jordan,Amman,31.95,35.8667,"1,064",1064000,yes,"1,064",Jordan,Amman,,,
Kazakhstan,Astana,51.1667,71.5,594,594000,yes,594,Kazakhstan,Astana,,,
Kenya,Nairobi,-1.2833,36.8,"3,011",3011000,yes,"3,011",Kenya,Nairobi,,,
Kiribati,Tarawa,1.5,173,42,42000,yes,42,Kiribati,South Tarawa,,,
Kuwait,Kuwait,29.5,48,"2,061",2061000,yes,"2,061",Kuwait,Kuwait City,,,
Kyrgyzstan,Bishkek,42.9,74.7667,837,837000,yes,837,Kyrgyzstan,Bishkek,,,
Lao,Vientiane,17.9667,102.6,746,746000,yes,746,Lao,Vientiane,,,
Latvia,Riga,56.8833,24.1333,722,722000,yes,722,Latvia,Riga,,,
Lebanon,Beirut,33.8833,35.5167,"1,857",1857000,yes,"1,857",Lebanon,Beirut,,,
Lesotho,Maseru,-29.3,27.5,212,212000,yes,212,Lesotho,Maseru,,,
Liberia,Monrovia,6.3,-10.7833,"1,165",1165000,yes,"1,165",Liberia,Monrovia,,,
Libyan Arab Jamahiriya,Tripoli,32.8167,13.1167,"2,188",2188000,yes,"2,188",Libyan Arab Jamahiriya,Tripoli,,,
Liechtenstein,Vaduz,47.1333,9.5167,5,5000,yes,5,Liechtenstein,Vaduz,,,
Lithuania,Vilnius,54.6333,25.3167,543,543000,yes,543,Lithuania,Vilnius,,,
Luxembourg,Luxembourg,49.6167,6.15,84,84000,yes,84,Luxembourg,Luxembourg City,,,
Madagascar,Antananarivo,-18.9167,47.5167,"1,697",1697000,yes,"1,697",Madagascar,Antananarivo,,,
Malawi,Lilongwe,-14,33.8,732,732000,yes,732,Malawi,Lilongwe,,,
Malaysia,Kuala Lumpur,3.15,101.6833,"1,448",1448000,yes,"1,448",Malaysia,Kuala Lumpur,,,
Maldives,Male,4,73.4667,111,111000,yes,111,Maldives,Malé,,,
Mali,Bamako,12.5667,-7.9167,"1,494",1494000,yes,"1,494",Mali,Bamako,,,
Malta,Valletta,35.9,14.5167,199,199000,yes,199,Malta,Valletta,,,
Martinique,Fort-de-France,14.6,-61.0333,92,92000,yes,92,Martinique,Fort-de-France,,,
Mauritania,Nouakchott,-20.1667,57.5,673,673000,yes,673,Mauritania,Nouakchott,,,
Mexico,Mexico,19.3333,-99.1667,"19,026",19026000,yes,"19,026",Mexico,Mexico City,,,
Micronesia,Palikir,6.9167,158.15,7,7000,yes,7,Micronesia,Palikir,,,
Moldova,Chisinau,47.0333,28.8333,592,592000,yes,592,Moldova,Chi?in?u,,,
Monaco,Monaco,43.7333,7.4166,33,33000,yes,33,Monaco,Monaco,,,
Mozambique,Maputo,-25.9667,32.5333,"1,445",1445000,yes,"1,445",Mozambique,Maputo,,,
Myanmar,Yangon,16.75,96.3333,418,418000,yes,418,Myanmar,Naypyidaw,,,
Namibia,Windhoek,-22.5833,17.0667,313,313000,yes,313,Namibia,Windhoek,,,
Nepal,Kathmandu,27.75,85.3333,895,895000,yes,895,Nepal,Kathmandu,,,
Netherlands,Amsterdam/The Hague (seat of Gvnt),52.3833,4.9,"1,031",1031000,yes,"1,031",Netherlands,Amsterdam,,,
Netherlands Antilles,Willemstad,12.0833,-69,120,120000,yes,120,Netherlands Antilles,Willemstad,,,
New Caledonia,Noumea,-22.2833,166.5,156,156000,yes,156,New Caledonia,Nouméa,,,
New Zealand,Wellington,-41.3167,174.7667,366,366000,yes,366,New Zealand,Wellington,,,
Nicaragua,Managua,12.1,-86.3333,920,920000,yes,920,Nicaragua,Managua,,,
Niger,Niamey,13.45,2.1,915,915000,yes,915,Niger,Niamey,,,
Nigeria,Abuja,9.0833,7.5333,"1,579",1579000,yes,"1,579",Nigeria,Abuja,,,
Northern Mariana Islands,Saipan,15.2,145.75,76,76000,yes,76,Northern Mariana Islands,Saipan,,,
Norway,Oslo,59.9167,10.75,834,834000,yes,834,Norway,Oslo,,,
Oman,Masqat,23.6167,58.6,621,621000,yes,621,Oman,Muscat,,,
Pakistan,Islamabad,33.6667,73.1667,780,780000,yes,780,Pakistan,Islamabad,,,
Palau,Koror,7.3333,134.4667,12,12000,yes,12,Palau,Koror,,,
Panama,Panama,9,-79.4167,"1,280",1280000,yes,"1,280",Panama,Panama City,,,
Papua New Guinea,Port Moresby,-9.4,147.1333,299,299000,yes,299,Papua New Guinea,Port Moresby,,,
Paraguay,Asuncion,-25.1667,-57.5,"1,870",1870000,yes,"1,870",Paraguay,Asunción,,,
Peru,Lima,-12,-77,"8,007",8007000,yes,"8,007",Peru,Lima,,,
Philippines,Manila,14.6667,121.05,"11,103",11103000,yes,"11,103",Philippines,Manila,,,
Poland,Warsaw,52.2167,21,"1,707",1707000,yes,"1,707",Poland,Warsaw,,,
Portugal,Lisbon,38.7,-9.1667,"2,811",2811000,yes,"2,811",Portugal,Lisbon,,,
Puerto Rico,San Juan,18.4667,-66.1167,"2,689",2689000,yes,"2,689",Puerto Rico,SanJuan,,,
Qatar,Doha,25.25,51.5833,386,386000,yes,386,Qatar,Doha,,,
Republic of Korea,Seoul,37.5167,126.9667,"9,799",9799000,yes,"9,799",Republic of Korea,Seoul,,,
Romania,Bucuresti,44.45,26.1667,"1,940",1940000,yes,"1,940",Romania,Bucharest,,,
Russian Federation,Moskva,55.75,37.5833,"10,471",10471000,yes,"10,471",Russian Federation,Moscow,,,
Rwanda,Kigali,-1.9833,30.0667,852,852000,yes,852,Rwanda,Kigali,,,
Saint Kitts and Nevis,Basseterre,17.2833,-62.7167,13,13000,yes,13,Saint Kitts and Nevis,Basseterre,,,
Saint Lucia,Castries,14.0333,-60.9667,14,14000,yes,14,Saint Lucia,Castries,,,
Saint Pierre and Miquelon,Saint-Pierre,46.7667,-56.2,6,6000,yes,6,Saint Pierre and Miquelon,"Saint-Pierre, Saint Pierre and Miquelon",6,Saint-Pierre-et-Miquelon,"Saint-Pierre, Saint Pierre and Miquelon"
Saint vincent and the Grenadines,Kingstown,13.1667,-61.1667,26,26000,yes,26,Saint Vincent and the Grenadines,Kingstown,,,
Samoa,Apia,-13.8333,-171.8333,43,43000,yes,43,Samoa,Apia,,,
San Marino,San Marino,43.9167,12.5,4,4000,yes,4,San Marino,San Marino,,,
Sao Tome and Principe,Sao Tome,0.1667,6.65,58,58000,yes,58,Sao Tome and Principe,São Tomé,,,
Saudi Arabia,Riyadh,24.6833,46.7,"4,462",4462000,yes,"4,462",Saudi Arabia,Riyadh,,,
Senegal,Dakar,14.5667,-17.4833,"2,603",2603000,yes,"2,603",Senegal,Dakar,,,
Sierra Leone,Freetown,8.5,-13.2833,826,826000,yes,826,Sierra Leone,Freetown,,,
Singapore,Singapore,1.2896,103.85,"4,436",4436000,yes,"4,436",Singapore,Singapore,,,
Slovakia,Bratislava,48.1667,17.1167,424,424000,yes,424,Slovakia,Bratislava,,,
Slovenia,Ljubljana,46.0667,14.55,244,244000,yes,244,Slovenia,Ljubljana,,,
Solomon Islands,Honiara,-9.45,159.95,66,66000,yes,66,Solomon Islands,Honiara,,,
Somalia,Mogadishu,2.0333,45.4167,"1,450",1450000,yes,"1,450",Somalia,Mogadishu,,,
South Africa,Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),-25.7333,28.2,"1,336",1336000,yes,"1,336",South Africa,Pretoria,,,
Spain,Madrid,40.4167,-3.75,"5,567",5567000,yes,"5,567",Spain,Madrid,,,
Sudan,Khartoum,15.5167,32.5833,"4,762",4762000,yes,"4,762",Sudan,Khartoum,,,
Suriname,Paramaribo,5.8333,-55.1667,252,252000,yes,252,Suriname,Paramaribo,,,
Swaziland,Mbabane (Adm.),-26.3,31.1,78,78000,yes,78,Swaziland,Mbabane,,,
Sweden,Stockholm,59.3333,18.05,"1,264",1264000,yes,"1,264",Sweden,Stockholm,,,
Switzerland,Bern,46.95,7.4667,337,337000,yes,337,Switzerland,Bern,,,
Syrian Arab Republic,Damascus,33.5,36.3,"2,467",2467000,yes,"2,467",Syrian Arab Republic,Damascus,,,
Tajikistan,Dushanbe,38.55,68.8,553,553000,yes,553,Tajikistan,Dushanbe,,,
Thailand,Bangkok,13.75,100.5833,"6,706",6706000,yes,"6,706",Thailand,Bangkok,,,
Macedonia,Skopje,42.0167,21.4333,480,480000,yes,480,Macedonia,Skopje,,,
Togo,Lome,6.15,1.3333,"1,451",1451000,yes,"1,451",Togo,Lomé,,,
Tonga,Nukualofa,-21.1667,-174,25,25000,yes,25,Tonga,Nuku?alofa,,,
Tunisia,Tunis,36.8333,10.1833,746,746000,yes,746,Tunisia,Tunis,,,
Turkey,Ankara,39.95,32.9,"3,715",3715000,yes,"3,715",Turkey,Ankara,,,
Turkmenistan,Ashgabat,38,57.8333,744,744000,yes,744,Turkmenistan,Ashgabat,,,
Tuvalu,Funafuti,-8.5167,179.2167,5,5000,yes,5,Tuvalu,Funafuti,,,
Uganda,Kampala,0.3333,32.5,"1,420",1420000,yes,"1,420",Uganda,Kampala,,,
Ukraine,Kiev (Rus),50.5,30.4667,"2,705",2705000,yes,"2,705",Ukraine,Kyiv,,,
United Arab Emirates,Abu Dhabi,24.4667,54.3667,604,604000,yes,604,United Arab Emirates,Abu Dhabi,,,
United Kingdom ,London,51.6,-0.0833,"8,566",8566000,yes,"8,566",United Kingdom ,London,,,
United Republic of Tanzania,Dodoma,-6.1333,35.75,183,183000,yes,183,United Republic of Tanzania,Dodoma,,,
United States of America,Washington DC,40.5167,-77.0333,"4,338",4338000,yes,"4,338",United States of America,"Washington, D.C.",,,
United States of Virgin Islands,Charlotte Amalie,18.35,-64.9333,53,53000,yes,53,United States of Virgin Islands,"Charlotte Amalie, U.S. Virgin Islands",,,
Uruguay,Montevideo,-34.8333,-56.1833,"1,514",1514000,yes,"1,514",Uruguay,Montevideo,,,
Uzbekistan,Tashkent,41.3333,69.1667,"2,184",2184000,yes,"2,184",Uzbekistan,Tashkent,,,
Vanuatu,Port-Vila,-17.75,168.3,40,40000,yes,40,Vanuatu,Port Vila,,,
Venezuela,Caracas,10.5,-66.9167,"2,986",2986000,yes,"2,986",Venezuela,Caracas,,,
Viet Nam,Hanoi,21.0833,105.9167,"4,377",4377000,yes,"4,377",Viet Nam,Hanoi,,,
Zambia,Lusaka,-15.4667,28.2667,"1,328",1328000,yes,"1,328",Zambia,Lusaka,,,
Zimbabwe,Harare,-17.7167,31.0333,"1,572",1572000,yes,"1,572",Zimbabwe,Harare,,,
